Word,Frequency
find,11
get,8
know,7
time,7
love,5
world,5
character,5
take,4
make,4
see,4
life,3
day,3
girl,3
man,3
look,3
year,3
come,3
relationship,3
way,2
meet,2
death,2
series,2
adventure,2
write,2
want,2
ask,2
eye,2
say,2
wake,2
chapter,2
collection,2
open,2
read,2
end,2
name,2
show,2
boy,2
hero,2
anime,2
night,2
akira,2
contain,1
humanity,1
killer,1
rest,1
luck,1
hell,1
mean,1
finger,1
blade,1
