Word,Frequency
make,30
time,30
life,25
love,24
know,24
story,20
want,19
come,17
world,16
year,12
think,11
day,10
character,8
way,8
help,7
say,7
friend,6
work,6
try,6
girl,6
happen,5
write,5
decide,5
meet,5
hero,4
look,4
school,4
man,4
end,4
anime,4
feel,4
chapter,4
series,4
relationship,3
collection,3
request,3
oneshot,3
eye,3
manga,3
fall,3
power,3
ask,3
game,3
night,3
use,3
fic,2
drabble,2
askbox,2
bring,2
fight,2
